experiment_type,model,model_size,model_category,model_params,prompt_type,phase,f1_score
SD,mistral_7b,7B,Medium,7,cot_knowledge,LoRA Fine-Tuned,0.8708
SD,mistral_7b,7B,Medium,7,cot_knowledge,LoRA Fine-Tuned,0.7728
SD,mistral_7b,7B,Medium,7,cot_knowledge,LoRA Fine-Tuned,0.6448
SD,mistral_7b,7B,Medium,7,cot_knowledge,LoRA Fine-Tuned,0.8146
SD,mistral_7b,7B,Medium,7,cot_knowledge,LoRA Fine-Tuned,0.8648
SD,mistral_7b,7B,Medium,7,cot_knowledge,LoRA Fine-Tuned,0.8314
SD,mistral_7b,7B,Medium,7,cot_knowledge,LoRA Fine-Tuned,0.813
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6894
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4328
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5715
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4117
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6212
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7649
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6356
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6839
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5639
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6808
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7336
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4983
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6488
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.8114
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5761
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,LoRA Fine-Tuned,0.8278
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,LoRA Fine-Tuned,0.8452
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,LoRA Fine-Tuned,0.5497
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,LoRA Fine-Tuned,0.9059
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,LoRA Fine-Tuned,0.9026
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,LoRA Fine-Tuned,0.794
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,LoRA Fine-Tuned,0.8248
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,LoRA Fine-Tuned,0.8703
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,LoRA Fine-Tuned,0.8851
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,LoRA Fine-Tuned,0.7207
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,LoRA Fine-Tuned,0.859
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,LoRA Fine-Tuned,0.8671
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,LoRA Fine-Tuned,0.7093
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,LoRA Fine-Tuned,0.8524
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,LoRA Fine-Tuned,0.7943
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.7261
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.129
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.5328
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.3863
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.4124
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.207
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.4678
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.4444
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.547
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.4138
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.6578
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.5852
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.2482
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.7889
SD,mistral_7b,7B,Medium,7,cot,Base (Non Fine-Tuned),0.2133
SD,mistral_7b,7B,Medium,7,cot,LoRA Fine-Tuned,0.6208
SD,mistral_7b,7B,Medium,7,cot,LoRA Fine-Tuned,0.8235
SD,mistral_7b,7B,Medium,7,cot,LoRA Fine-Tuned,0.9083
SD,mistral_7b,7B,Medium,7,cot,LoRA Fine-Tuned,0.7436
SD,mistral_7b,7B,Medium,7,cot,LoRA Fine-Tuned,0.9221
SD,mistral_7b,7B,Medium,7,cot,LoRA Fine-Tuned,0.9408
SD,mistral_7b,7B,Medium,7,cot,LoRA Fine-Tuned,0.8465
SD,mistral_7b,7B,Medium,7,cot,LoRA Fine-Tuned,0.8535
SD,mistral_7b,7B,Medium,7,cot,LoRA Fine-Tuned,0.9048
SD,mistral_7b,7B,Medium,7,cot,LoRA Fine-Tuned,0.8839
SD,mistral_7b,7B,Medium,7,cot,LoRA Fine-Tuned,0.7899
SD,mistral_7b,7B,Medium,7,cot,LoRA Fine-Tuned,0.8511
SD,mistral_7b,7B,Medium,7,cot,LoRA Fine-Tuned,0.7699
SD,mistral_7b,7B,Medium,7,cot,LoRA Fine-Tuned,0.844
SD,mistral_7b,7B,Medium,7,cot,LoRA Fine-Tuned,0.8271
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.2139
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.1276
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.3493
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.7375
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.6826
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.544
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.3967
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.4568
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.4415
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.5374
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.259
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.4213
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.5739
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.8062
SD,mistral_7b,7B,Medium,7,vanilla,Base (Non Fine-Tuned),0.2446
SD,mistral_7b,7B,Medium,7,vanilla,LoRA Fine-Tuned,0.5695
SD,mistral_7b,7B,Medium,7,vanilla,LoRA Fine-Tuned,0.8298
SD,mistral_7b,7B,Medium,7,vanilla,LoRA Fine-Tuned,0.8395
SD,mistral_7b,7B,Medium,7,vanilla,LoRA Fine-Tuned,0.747
SD,mistral_7b,7B,Medium,7,vanilla,LoRA Fine-Tuned,0.9247
SD,mistral_7b,7B,Medium,7,vanilla,LoRA Fine-Tuned,0.9467
SD,mistral_7b,7B,Medium,7,vanilla,LoRA Fine-Tuned,0.8582
SD,mistral_7b,7B,Medium,7,vanilla,LoRA Fine-Tuned,0.8706
SD,mistral_7b,7B,Medium,7,vanilla,LoRA Fine-Tuned,0.9185
SD,mistral_7b,7B,Medium,7,vanilla,LoRA Fine-Tuned,0.8875
SD,mistral_7b,7B,Medium,7,vanilla,LoRA Fine-Tuned,0.7715
SD,mistral_7b,7B,Medium,7,vanilla,LoRA Fine-Tuned,0.7816
SD,mistral_7b,7B,Medium,7,vanilla,LoRA Fine-Tuned,0.8396
SD,mistral_7b,7B,Medium,7,vanilla,LoRA Fine-Tuned,0.8607
SD,mistral_7b,7B,Medium,7,vanilla,LoRA Fine-Tuned,0.8247
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.3224
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.5967
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.5211
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.752
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.5971
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.6337
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.5503
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.481
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.643
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.4158
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.7139
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.6943
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.5359
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.8078
SD,mistral_7b,7B,Medium,7,few_shot,Base (Non Fine-Tuned),0.5935
SD,mistral_7b,7B,Medium,7,few_shot,LoRA Fine-Tuned,0.7103
SD,mistral_7b,7B,Medium,7,few_shot,LoRA Fine-Tuned,0.8112
SD,mistral_7b,7B,Medium,7,few_shot,LoRA Fine-Tuned,0.8453
SD,mistral_7b,7B,Medium,7,few_shot,LoRA Fine-Tuned,0.4618
SD,mistral_7b,7B,Medium,7,few_shot,LoRA Fine-Tuned,0.911
SD,mistral_7b,7B,Medium,7,few_shot,LoRA Fine-Tuned,0.9178
SD,mistral_7b,7B,Medium,7,few_shot,LoRA Fine-Tuned,0.8102
SD,mistral_7b,7B,Medium,7,few_shot,LoRA Fine-Tuned,0.8365
SD,mistral_7b,7B,Medium,7,few_shot,LoRA Fine-Tuned,0.8496
SD,mistral_7b,7B,Medium,7,few_shot,LoRA Fine-Tuned,0.8901
SD,mistral_7b,7B,Medium,7,few_shot,LoRA Fine-Tuned,0.7329
SD,mistral_7b,7B,Medium,7,few_shot,LoRA Fine-Tuned,0.869
SD,mistral_7b,7B,Medium,7,few_shot,LoRA Fine-Tuned,0.8433
SD,mistral_7b,7B,Medium,7,few_shot,LoRA Fine-Tuned,0.8317
SD,mistral_7b,7B,Medium,7,few_shot,LoRA Fine-Tuned,0.8182
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.1324
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.4065
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.5895
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.7589
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.5836
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.608
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.5936
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.5298
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.7404
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.6075
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.2663
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.564
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.662
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.8204
SD,mistral_7b,7B,Medium,7,knowledge_infused,Base (Non Fine-Tuned),0.4638
SD,mistral_7b,7B,Medium,7,knowledge_infused,LoRA Fine-Tuned,0.6081
SD,mistral_7b,7B,Medium,7,knowledge_infused,LoRA Fine-Tuned,0.8304
SD,mistral_7b,7B,Medium,7,knowledge_infused,LoRA Fine-Tuned,0.7967
SD,mistral_7b,7B,Medium,7,knowledge_infused,LoRA Fine-Tuned,0.7266
SD,mistral_7b,7B,Medium,7,knowledge_infused,LoRA Fine-Tuned,0.9206
SD,mistral_7b,7B,Medium,7,knowledge_infused,LoRA Fine-Tuned,0.9309
SD,mistral_7b,7B,Medium,7,knowledge_infused,LoRA Fine-Tuned,0.8162
SD,mistral_7b,7B,Medium,7,knowledge_infused,LoRA Fine-Tuned,0.8637
SD,mistral_7b,7B,Medium,7,knowledge_infused,LoRA Fine-Tuned,0.6219
SD,mistral_7b,7B,Medium,7,knowledge_infused,LoRA Fine-Tuned,0.8931
SD,mistral_7b,7B,Medium,7,knowledge_infused,LoRA Fine-Tuned,0.7536
SD,mistral_7b,7B,Medium,7,knowledge_infused,LoRA Fine-Tuned,0.7226
SD,mistral_7b,7B,Medium,7,knowledge_infused,LoRA Fine-Tuned,0.915
SD,mistral_7b,7B,Medium,7,knowledge_infused,LoRA Fine-Tuned,0.8311
SD,mistral_7b,7B,Medium,7,knowledge_infused,LoRA Fine-Tuned,0.8164
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6551
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7824
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.843
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6666
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.8332
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.4865
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6819
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.5145
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7942
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7216
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7919
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.713
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6583
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.7006
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,Base (Non Fine-Tuned),0.6284
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,LoRA Fine-Tuned,0.7544
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,LoRA Fine-Tuned,0.8293
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,LoRA Fine-Tuned,0.8423
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,LoRA Fine-Tuned,0.9285
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,LoRA Fine-Tuned,0.8874
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,LoRA Fine-Tuned,0.8376
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,LoRA Fine-Tuned,0.8981
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,LoRA Fine-Tuned,0.8948
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,LoRA Fine-Tuned,0.8751
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,LoRA Fine-Tuned,0.7326
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,LoRA Fine-Tuned,0.7657
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,LoRA Fine-Tuned,0.6641
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,LoRA Fine-Tuned,0.8774
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,LoRA Fine-Tuned,0.8394
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,LoRA Fine-Tuned,0.7632
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.597
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.5279
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.6656
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.7292
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.6527
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.6603
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.5333
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.7921
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.3028
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.6201
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.7155
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.2028
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.8417
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.6415
SD,mistral_24b,24B,Large,24,cot_knowledge,Base (Non Fine-Tuned),0.5579
SD,mistral_24b,24B,Large,24,cot_knowledge,LoRA Fine-Tuned,0.9312
SD,mistral_24b,24B,Large,24,cot_knowledge,LoRA Fine-Tuned,0.9207
SD,mistral_24b,24B,Large,24,cot_knowledge,LoRA Fine-Tuned,0.8537
SD,mistral_24b,24B,Large,24,cot_knowledge,LoRA Fine-Tuned,0.8908
SD,mistral_24b,24B,Large,24,cot_knowledge,LoRA Fine-Tuned,0.9035
SD,mistral_24b,24B,Large,24,cot_knowledge,LoRA Fine-Tuned,0.4295
SD,mistral_24b,24B,Large,24,cot_knowledge,LoRA Fine-Tuned,0.8199
SD,mistral_24b,24B,Large,24,cot_knowledge,LoRA Fine-Tuned,0.8688
SD,mistral_24b,24B,Large,24,cot_knowledge,LoRA Fine-Tuned,0.7741
SD,mistral_24b,24B,Large,24,cot_knowledge,LoRA Fine-Tuned,0.8364
SD,mistral_24b,24B,Large,24,cot_knowledge,LoRA Fine-Tuned,0.845
SD,mistral_24b,24B,Large,24,cot_knowledge,LoRA Fine-Tuned,0.7097
SD,mistral_24b,24B,Large,24,cot_knowledge,LoRA Fine-Tuned,0.8985
SD,mistral_24b,24B,Large,24,cot_knowledge,LoRA Fine-Tuned,0.8308
SD,mistral_24b,24B,Large,24,cot_knowledge,LoRA Fine-Tuned,0.7896
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.7356
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.1434
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.4743
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.5024
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.5928
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.522
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.6001
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.4328
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.8047
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.5526
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.4258
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.2346
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.6879
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.1819
SD,mistral_24b,24B,Large,24,cot,Base (Non Fine-Tuned),0.1841
SD,mistral_24b,24B,Large,24,cot,LoRA Fine-Tuned,0.4257
SD,mistral_24b,24B,Large,24,cot,LoRA Fine-Tuned,0.8199
SD,mistral_24b,24B,Large,24,cot,LoRA Fine-Tuned,0.7648
SD,mistral_24b,24B,Large,24,cot,LoRA Fine-Tuned,0.8066
SD,mistral_24b,24B,Large,24,cot,LoRA Fine-Tuned,0.8303
SD,mistral_24b,24B,Large,24,cot,LoRA Fine-Tuned,0.7176
SD,mistral_24b,24B,Large,24,cot,LoRA Fine-Tuned,0.8975
SD,mistral_24b,24B,Large,24,cot,LoRA Fine-Tuned,0.9324
SD,mistral_24b,24B,Large,24,cot,LoRA Fine-Tuned,0.9245
SD,mistral_24b,24B,Large,24,cot,LoRA Fine-Tuned,0.8501
SD,mistral_24b,24B,Large,24,cot,LoRA Fine-Tuned,0.895
SD,mistral_24b,24B,Large,24,cot,LoRA Fine-Tuned,0.8897
SD,mistral_24b,24B,Large,24,cot,LoRA Fine-Tuned,0.8088
SD,mistral_24b,24B,Large,24,cot,LoRA Fine-Tuned,0.848
SD,mistral_24b,24B,Large,24,cot,LoRA Fine-Tuned,0.8191
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.6066
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.706
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.2187
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.359
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.7918
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.6523
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.64
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.6758
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.8479
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.7791
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.7362
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.5864
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.5889
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.5841
SD,mistral_24b,24B,Large,24,few_shot,Base (Non Fine-Tuned),0.5622
SD,mistral_24b,24B,Large,24,few_shot,LoRA Fine-Tuned,0.6861
SD,mistral_24b,24B,Large,24,few_shot,LoRA Fine-Tuned,0.748
SD,mistral_24b,24B,Large,24,few_shot,LoRA Fine-Tuned,0.6867
SD,mistral_24b,24B,Large,24,few_shot,LoRA Fine-Tuned,0.8547
SD,mistral_24b,24B,Large,24,few_shot,LoRA Fine-Tuned,0.7579
SD,mistral_24b,24B,Large,24,few_shot,LoRA Fine-Tuned,0.8817
SD,mistral_24b,24B,Large,24,few_shot,LoRA Fine-Tuned,0.8354
SD,mistral_24b,24B,Large,24,few_shot,LoRA Fine-Tuned,0.8239
SD,mistral_24b,24B,Large,24,few_shot,LoRA Fine-Tuned,0.9335
SD,mistral_24b,24B,Large,24,few_shot,LoRA Fine-Tuned,0.8881
SD,mistral_24b,24B,Large,24,few_shot,LoRA Fine-Tuned,0.8235
SD,mistral_24b,24B,Large,24,few_shot,LoRA Fine-Tuned,0.9021
SD,mistral_24b,24B,Large,24,few_shot,LoRA Fine-Tuned,0.8834
SD,mistral_24b,24B,Large,24,few_shot,LoRA Fine-Tuned,0.8357
SD,mistral_24b,24B,Large,24,few_shot,LoRA Fine-Tuned,0.8052
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.4285
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.2489
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.4486
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.7441
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.1455
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.4202
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.4723
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.2312
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.581
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.5295
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.5894
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.6162
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.7059
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.8118
SD,mistral_24b,24B,Large,24,vanilla,Base (Non Fine-Tuned),0.2141
SD,mistral_24b,24B,Large,24,vanilla,LoRA Fine-Tuned,0.8132
